threshold,accuracy,precision,recall,f1
0.79,0.5284552845528455,0.7058823529411765,0.0975609756097561,0.17142857142857143
0.8,0.5284552845528455,0.8181818181818182,0.07317073170731707,0.13432835820895522
0.81,0.5231707317073171,0.9523809523809523,0.04878048780487805,0.09280742459396751
0.8200000000000001,0.5,0.0,0.0,0.0
0.8300000000000001,0.5,0.0,0.0,0.0
0.84,0.5,0.0,0.0,0.0
0.85,0.5,0.0,0.0,0.0
0.86,0.5,0.0,0.0,0.0
0.87,0.5,0.0,0.0,0.0
0.88,0.5,0.0,0.0,0.0
0.89,0.5,0.0,0.0,0.0
0.9,0.5,0.0,0.0,0.0
0.91,0.5,0.0,0.0,0.0
0.92,0.5,0.0,0.0,0.0
0.93,0.5,0.0,0.0,0.0
0.9400000000000001,0.5,0.0,0.0,0.0
0.9500000000000001,0.5,0.0,0.0,0.0
0.96,0.5,0.0,0.0,0.0
0.97,0.5,0.0,0.0,0.0
0.98,0.5,0.0,0.0,0.0
0.99,0.5,0.0,0.0,0.0
1.0,0.5,0.0,0.0,0.0
